tweet_count,username,text,created_at,retweets,likes
42,morto-vivo desanimado,"meus parabéns pros arrombados do caralho que tão queimando bauru inteira pra construir imóvel, vão lucrar bastante com a especulação imobiliária e quando a cidade virar um deserto sem água e sem vida partem pra próxima",Tue Sep 30 23:20:55 +0000 2025,0,0,água
43,𝖌𝖚𝖘𝖙𝖆𝖛𝖔,toma no cu as queimada de bauru,Wed Oct 01 01:28:49 +0000 2025,0,1,queimada
44,lau,Minha preocupação era morrer por envenenamento de metanol no final de semana mas com essa queimada em bauru nem no final de semana eu chego,Wed Oct 01 03:28:58 +0000 2025,0,2,"morre, queimada, upa"
45,Radar Econômico,Grupo Santa chega a São Paulo com aquisição de hospital em Bauru https://t.co/fLfdmpjcB2,Tue Sep 16 19:37:13 +0000 2025,0,0,hospital
46,g1 Bauru,Presidente Prudente tem quase uma árvore por habitante; concurso destaca importância do patrimônio natural https://t.co/KwyLNSy9GS #g1 #PresidentePrudente #DiadaÁrvore https://t.co/0oLHoUdoQu,Sat Sep 20 14:17:59 +0000 2025,0,0,árvore
47,BOLETIM DE OCORRÊNCIA 🇧🇷,"#Boletim de #Ocorrência: Um compilado de informações policiais, prestação de serviço de utilidade pública e opinião editorial própria. https://t.co/JHSsIK4Cpw",Wed Oct 01 12:59:07 +0000 2025,0,0,Nenhum
48,BOLETIM DE OCORRÊNCIA 🇧🇷,#Boletim de #Ocorrência: TELEFONES de EMERGÊNCIA: #PMERJ: 190 / #PCERJ: 197 / #PRF: 191 / #CBMERJ: 193 / DEFESA CIVIL: 199 / SAMU: 192. https://t.co/CUax219k6I,Wed Oct 01 14:22:15 +0000 2025,0,1,samu
49,Jornal Diário do Estado,Prisão de 3 pessoas por furto de cobre e construção em Bauru: flagrantes recentes ➡️ Leia: https:// https://t.co/tp8fHosjmy https://t.co/Sp0sUX3S3h,Mon Jul 28 14:06:13 +0000 2025,0,0,"furto, prisão"
50,Polícia Militar do Estado de São Paulo,"Dupla é presa por furto em Bauru/SP

No domingo (31), policiais do 4º Batalhão de Polícia Militar do Interior prenderam dois envolvidos em furto a um estabelecimento comercial em Bauru/SP.

No local, foi apreendido um caminhão baú carregado com suplementos e placas veiculares https://t.co/RuMEDL0iYQ",Mon Sep 01 13:08:32 +0000 2025,1,17,"caminhão, furto, polícia, presa"
51,Sesi Vôlei Bauru,"🏐 TEMPORADA 2025/26

🏅TALIA COSTA

TEM NOVIDADE NA ÁREA! 🤩 

A Talia é o novo reforço das brabas para a temporada 2025/26! ☄️
Com velocidade, versatilidade e uma energia contagiante, essa ponteira promete agitar as quadras e a nossa torcida! 💪🏻

Em breve, tem mais! 🔝

❤️🖤 https://t.co/lEKAMy1Kc7",Tue Jun 03 11:08:11 +0000 2025,2,53,energia
